name,slug,description,parent,seoTitle,seoDescription,backgroundImageUrl,backgroundImageAlt
Dogs,dogs,"Everything your dog needs for a happy, healthy life. From premium beds and stylish collars to enrichment toys and grooming essentials.",,Dog Supplies | Pawzen,"Shop premium dog beds, collars, toys, grooming tools, and wellness essentials. Curated for quality-conscious pet parents.",https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,Dogs - Pawzen Pet Care
Cats,cats,"Curated essentials for your feline friend. Cat trees, scratching posts, interactive toys, and cozy beds.",,Cat Supplies | Pawzen,"Shop cat trees, toys, beds, fountains, and grooming essentials. Premium products for happy, healthy cats.",https://cf.cjdropshipping.com/f8dc5a9b-909c-4389-adc4-564fbd004aa6.jpg,Cats - Pawzen Pet Care
Home & Cleaning,home-cleaning,"Keep your home fresh and pet-friendly. Furniture protectors, lint removers, and odor eliminators.",,Pet Home & Cleaning | Pawzen,"Pet hair removers, furniture protectors, odor eliminators, and cleaning supplies for pet-friendly homes.",https://cf.cjdropshipping.com/1615203197971.jpg,Home & Cleaning - Pawzen Pet Care
Dog Beds & Furniture,dog-beds-furniture,"Orthopedic, calming, and elevated beds designed for your dog's perfect rest and recovery.",dogs,Dog Beds & Furniture | Pawzen,"Premium orthopedic, calming donut, and elevated dog beds. Designed for comfort and joint support.",https://cf.cjdropshipping.com/1622428115167.jpg,Dog Beds & Furniture - Pawzen Pet Care
Dog Bowls & Feeders,dog-bowls-feeders,"Elevated, slow-feeder, ceramic, and automatic feeding solutions for healthier mealtimes.",dogs,Dog Bowls & Feeders | Pawzen,"Slow feeders, elevated bowls, water fountains, and automatic dispensers for dogs.",https://cf.cjdropshipping.com/20190606/273843814404.png,Dog Bowls & Feeders - Pawzen Pet Care
Dog Collars & Leashes,dog-collars-leashes,"Stylish collars, reflective leashes, and no-pull harnesses for safe, comfortable walks.",dogs,"Dog Collars, Leashes & Harnesses | Pawzen","Premium leather collars, no-pull harnesses, reflective leashes, and personalized ID tags.",https://cf.cjdropshipping.com/1618642315250.jpg,Dog Collars & Leashes - Pawzen Pet Care
Dog Toys & Enrichment,dog-toys-enrichment,"Interactive puzzles, durable chews, snuffle mats, and mental stimulation toys for happy dogs.",dogs,Dog Toys & Enrichment | Pawzen,"Interactive puzzle toys, snuffle mats, durable chew toys, and enrichment games for dogs.",https://cf.cjdropshipping.com/722e8bb7-60e4-4a4e-b05c-d01f443fa442.png,Dog Toys & Enrichment - Pawzen Pet Care
Dog Grooming,dog-grooming,"Professional brushes, nail care, dental kits, and spa-quality grooming tools.",dogs,Dog Grooming Supplies | Pawzen,"Deshedding brushes, nail grinders, dental care kits, and bath tools for dogs.",https://cf.cjdropshipping.com/634d43a5-5040-40d6-a1ad-b31ca170060e.png,Dog Grooming - Pawzen Pet Care
Dog Clothing,dog-clothing,"Raincoats, sweaters, boots, bandanas, and fashion accessories for stylish pups.",dogs,Dog Clothing & Accessories | Pawzen,"Waterproof raincoats, winter sweaters, all-weather boots, and designer bandanas for dogs.",https://cf.cjdropshipping.com/b7052f26-e933-4fe4-97fe-2d071ecbb64c.jpg,Dog Clothing - Pawzen Pet Care
Dog Travel,dog-travel,"Carriers, car seats, portable bowls, and adventure gear for on-the-go pet parents.",dogs,Dog Travel & Outdoor Gear | Pawzen,"Pet carriers, car seats, portable water bottles, and travel accessories for dogs.",https://cf.cjdropshipping.com/1d82af07-a24e-44cb-83d7-561c32014385.jpg,Dog Travel - Pawzen Pet Care
Dog Health & Wellness,dog-health-wellness,"Supplements, dental care, calming aids, and wellness essentials for your dog's health.",dogs,Dog Health & Wellness | Pawzen,"Joint supplements, calming aids, dental care, and wellness products for dogs.",https://cf.cjdropshipping.com/eac287b9-cba0-4a7c-8a48-afe21aafb01d.jpg,Dog Health & Wellness - Pawzen Pet Care
Cat Trees & Furniture,cat-trees-furniture,"Activity towers, wall shelves, window perches, and scratching posts for active cats.",cats,Cat Trees & Furniture | Pawzen,"Cat activity towers, wall-mounted shelves, window perches, and premium scratching posts.",https://cf.cjdropshipping.com/20190808/2481133894174.png,Cat Trees & Furniture - Pawzen Pet Care
Cat Toys,cat-toys,"Interactive wands, catnip toys, tunnels, laser chasers, and puzzle feeders.",cats,Cat Toys & Enrichment | Pawzen,"Interactive wand toys, catnip toys, tunnels, and puzzle feeders for curious cats.",https://cf.cjdropshipping.com/20200827/571248498632.png,Cat Toys - Pawzen Pet Care
Cat Beds,cat-beds,"Cave beds, hammocks, window loungers, and heated beds for the coziest cat naps.",cats,Cat Beds & Loungers | Pawzen,"Enclosed cave beds, window perch beds, cat hammocks, and heated loungers.",,
Cat Feeding,cat-feeding,"Water fountains, slow feeders, and elevated dining solutions for healthy cats.",cats,Cat Bowls & Feeders | Pawzen,"Cat water fountains, slow feeders, elevated bowls, and automatic dispensers.",https://cf.cjdropshipping.com/20200907/7946095344316.jpg,Cat Feeding - Pawzen Pet Care
Cat Grooming,cat-grooming,"Gentle brushes, nail caps, and hygiene essentials designed for cats.",cats,Cat Grooming Supplies | Pawzen,"Cat brushes, nail cap kits, deshedding tools, and gentle grooming essentials.",,
Cat Accessories,cat-accessories,"Litter mats, cat doors, collars, fountains, and essential cat accessories.",cats,Cat Accessories | Pawzen,"Cat litter mats, cat doors, bell collars, and essential feline accessories.",https://cf.cjdropshipping.com/f8dc5a9b-909c-4389-adc4-564fbd004aa6.jpg,Cat Accessories - Pawzen Pet Care
Pet Hair Removal,pet-hair-removal,"Lint rollers, fur removers, and vacuum attachments to keep your home fur-free.",home-cleaning,Pet Hair Removal Tools | Pawzen,"Reusable lint rollers, pet hair remover brushes, and fur removal tools.",https://cf.cjdropshipping.com/1615203197971.jpg,Pet Hair Removal - Pawzen Pet Care
Home Protection,home-protection,"Furniture covers, safety gates, and waterproof protectors for pet-proofing your home.",home-cleaning,Pet Home Protection | Pawzen,"Waterproof furniture covers, pet safety gates, and home protection solutions.",https://oss-cf.cjdropshipping.com/product/2024/02/26/05/ec37b2eb-4bd1-49c3-a49a-fb2f6047edcf.jpg,Home Protection - Pawzen Pet Care
Cleaning Supplies,cleaning-supplies,"Stain removers, odor eliminators, training pads, and cleaning essentials.",home-cleaning,Pet Cleaning Supplies | Pawzen,"Pet stain removers, odor eliminators, washable training pads, and cleaning tools.",https://cf.cjdropshipping.com/cc034a41-218e-4725-91db-cb213393431f.jpg,Cleaning Supplies - Pawzen Pet Care
