"post_number","scheduled_date","product_name","category","caption","image_url","additional_images","product_link","price","on_sale","post_type"
"1","2026-03-27 10:00","Dog Car Mat — Trunk & Rear Seat Cover","Pet Car Mats","Every pet deserves a little luxury. 🚗🐶

The Dog Car Mat — Trunk & Rear Seat Cover is designed with love for your furry friend.

💰 $8.77

🛒 Shop: https://pawzenpets.shop/usd/products/dog-car-mat-pet-car-mats-trunk-rear-seat
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogCar #PetTravel #RoadTrip #DogLife #DogDad #AdoptDontShop #CatMom #CatDad #Instadog #PetsOfInstagram #PetParent #DogMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182246385-v2zp_d6543138_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773182246724-vuoz_681d9188_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182247704-589a_95ebe837_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773182248694-i1yh_9e563509_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/dog-car-mat-pet-car-mats-trunk-rear-seat","$8.77","NO","STANDARD"
"2","2026-03-27 15:00","Bicycle Dog Leash — Quick Release","Pet Leashes","🔥 SALE ALERT! Bicycle Dog Leash — Quick Release — was $19.18, now just $16.30!

Built for adventure — safe, durable, and comfortable.

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/bicycle-walking-dog-leash-dog-chain-loading-and-unloading-leash-dog-pet-supplies
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogLeash #DogWalk #AdventureDog #OutdoorDog #CatsOfInstagram #Instadog #Instacat #DogDad #CatDad #PetParent #DogMom #PetLover","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181086467-90jo_4cd80763_thumbnail_1024.png","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181086877-zw31_7d0235b3_thumbnail_1024.png | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181087612-9le8_74e65294_thumbnail_1024.png | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181087998-vsat_b32787a6_thumbnail_1024.png","https://pawzenpets.shop/usd/products/bicycle-walking-dog-leash-dog-chain-loading-and-unloading-leash-dog-pet-supplies","$16.30","YES","SALE"
"3","2026-03-28 10:00","Pet Supplies Dog Reflective Buffer Retractable Car Seat Belt","Pet Seat Belts","Struggling with finding quality pet products? We've got you covered! 🐾❤️

Pet Supplies Dog Reflective Buffer Retractable Car Seat Belt — Premium quality at an affordable price — your pet will love it!

💰 $7.48

🛒 Shop: https://pawzenpets.shop/usd/products/pet-supplies-dog-reflective-buffer-retractable-car-seat-belt
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetTravel #DogTravel #AdventureDog #TravelWithPets #Instacat #CatsOfInstagram #CatMom #PetsOfInstagram #DogMom #FurBaby #PetLover #DogDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181091238-9t7n_44174120_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIwMjE=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIwMjI=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIwMjM=/1024/","https://pawzenpets.shop/usd/products/pet-supplies-dog-reflective-buffer-retractable-car-seat-belt","$7.48","NO","STANDARD"
"4","2026-03-28 15:00","Cat Hanging Window Bed","Pet Hammocks","🔥 SALE ALERT! Cat Hanging Window Bed — was $15.35, now just $13.05!

Let your cat sunbathe in style with this window-mounted hammock!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/cat-hanging-bed-hanging-balcony-window-bedside
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #CatHammock #WindowCat #CatNap #CatLife #SunBathing #FurBaby #AdoptDontShop #CatsOfInstagram #CatDad #DogMom #Instacat #CatMom","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112167855-zsma_e87b8f03_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE0MTU=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE0MTY=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE0MTc=/1024/","https://pawzenpets.shop/usd/products/cat-hanging-bed-hanging-balcony-window-bedside","$13.05","YES","SALE"
"5","2026-03-29 10:00","LED Electric Pet Nail Clipper & Grinder","Pet Nail Polishers","Making life better, one paw at a time. ✂️🐾

LED Electric Pet Nail Clipper & Grinder — because pets deserve the best.

💰 $5.35

🛒 Shop: https://pawzenpets.shop/usd/products/pet-nail-clippers-dog-nail-clippers-cat-nail-clippers-led-electric-nail-grinder-
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetGrooming #DogGrooming #CatGrooming #PetCare #FurBaby #AdoptDontShop #CatMom #Instacat #Instadog #DogsOfInstagram #PetParent #DogDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181303644-uett_eb55e707_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIxMjQ=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIxMjU=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIxMjY=/1024/","https://pawzenpets.shop/usd/products/pet-nail-clippers-dog-nail-clippers-cat-nail-clippers-led-electric-nail-grinder-","$5.35","NO","STANDARD"
"6","2026-03-29 15:00","Shiba Inu Paw Cleaner","Pet Shower Products","Struggling with messy bath times? We've got you covered! 🛁🐾

Shiba Inu Paw Cleaner — Makes bath time quick, easy, and (dare we say) fun!

💰 $10.70

🛒 Shop: https://pawzenpets.shop/usd/products/shiba-inu-paw-cleaner
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetBath #BathTime #CleanPet #PetCare #DogBath #CatDad #DogsOfInstagram #DogDad #PetsOfInstagram #DogMom #CatMom #Instadog","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181464314-ge8e_db84b88b_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMjU=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMjY=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMjc=/1024/","https://pawzenpets.shop/usd/products/shiba-inu-paw-cleaner","$10.70","NO","STANDARD"
"7","2026-03-30 10:00","Automatic LED Laser Cat Pole Toy","Pet Chase Toys","🔥 SALE ALERT! Automatic LED Laser Cat Pole Toy — was $17.02, now just $14.47!

Keep your cat entertained for hours with this interactive laser toy!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/automatic-laser-cat-pole-toy-led-red-laser-toy
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #CatPlay #LaserCat #CatLife #CatMom #CatDad #FunnyCat #AdoptDontShop #PetParent #CatDad #PetsOfInstagram #CatMom #CatsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181939477-y4pf_ec039720_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181940303-itpe_841c3956_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181940871-ofhf_420d9177_thumbnail_1024.jpg | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjI0NzE=/1024/","https://pawzenpets.shop/usd/products/automatic-laser-cat-pole-toy-led-red-laser-toy","$14.47","YES","SALE"
"8","2026-03-30 15:00","Smart Pet Water Fountain — Auto Circulating","Pet Drinking Tools","🔥 SALE ALERT! Smart Pet Water Fountain — Auto Circulating — was $29.22, now just $25.71!

Fresh, clean water wherever your adventures take you!

Don't miss out — limited time only!

🛒 Shop: https://pawzenpets.shop/usd/products/pet-water-dispenser-intelligent-automatic-circulating-filter-water-dispenser
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetHydration #WaterFountain #DogWater #HealthyPet #CatMom #DogDad #DogMom #CatsOfInstagram #CatDad #PetParent #Instacat #DogsOfInstagram","https://api.pawzenpets.shop/media/thumbnails/products/import-1773112348579-346z_51b2f97d_thumbnail_1024.png","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE1MjE=/1024/ | https://api.pawzenpets.shop/media/thumbnails/products/import-1773112350711-nzi5_7e4523e4_thumbnail_1024.jpg | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjE1MjM=/1024/","https://pawzenpets.shop/usd/products/pet-water-dispenser-intelligent-automatic-circulating-filter-water-dispenser","$25.71","YES","SALE"
"9","2026-03-31 10:00","Pet Bath Brush with Shampoo Dispenser","Pet Shower Products","Treat your fur baby without breaking the bank! 🛁🐾

Pet Bath Brush with Shampoo Dispenser — $2.53 (save 25%!)

Makes bath time quick, easy, and (dare we say) fun!

🛒 Shop: https://pawzenpets.shop/usd/products/soft-silicone-bristles-cat-dog-bath-brush-comb-scrubber-shampoo-dispenser-for-pe
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #PetBath #BathTime #CleanPet #PetCare #DogBath #CatDad #PetParent #DogMom #DogDad #CatsOfInstagram #Instadog #AdoptDontShop","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181458121-41vg_2d7dcef9_thumbnail_1024.jpg","https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMTc=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMTg=/1024/ | https://api.pawzenpets.shop/thumbnail/UHJvZHVjdE1lZGlhOjIyMTk=/1024/","https://pawzenpets.shop/usd/products/soft-silicone-bristles-cat-dog-bath-brush-comb-scrubber-shampoo-dispenser-for-pe","$2.53","YES","SALE"
"10","2026-03-31 15:00","Dog Running Harness","Pet Leashes","Making life better, one paw at a time. 🐕🚶

Dog Running Harness — because pets deserve the best.

💰 $15.75

🛒 Shop: https://pawzenpets.shop/usd/products/dog-running-harness
🔗 All products: https://pawzenpets.shop | @pawzenpets.shop

#PawzenPets #PawzenLife #HappyPetHappyLife #DogLeash #DogWalk #AdventureDog #OutdoorDog #PetLover #FurBaby #DogsOfInstagram #Instadog #CatsOfInstagram #PetParent #DogDad #CatDad","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181154152-kwu3_b9d2e6d6_thumbnail_1024.jpg","https://api.pawzenpets.shop/media/thumbnails/products/import-1773181154602-umgk_2e2013d6_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181155004-dhzy_f4394bab_thumbnail_1024.jpg | https://api.pawzenpets.shop/media/thumbnails/products/import-1773181156075-4tnt_03a3ad3b_thumbnail_1024.jpg","https://pawzenpets.shop/usd/products/dog-running-harness","$15.75","NO","HERO"
